method,planted_wgds,duprate,simid,dup_cost,solution_cost,solution_nbdups,solution_nblosses,time
segdup,1,11,11,15,16,1,1,75.603079
insider,1,11,11,15,16.0,1.0,1.0,0.047604
fastmultrec_greedy,1,11,11,15,16.0,1.0,1.0,0.164855
lcamap,1,11,11,15,16.0,1.0,1.0,0.028483
segdup,1,11,11,20,21,1,1,49.881970
insider,1,11,11,20,21.0,1.0,1.0,0.046783
fastmultrec_greedy,1,11,11,20,21.0,1.0,1.0,0.161834
lcamap,1,11,11,20,21.0,1.0,1.0,0.029186
segdup,1,11,11,25,26,1,1,47.355247
insider,1,11,11,25,26.0,1.0,1.0,0.046944
fastmultrec_greedy,1,11,11,25,26.0,1.0,1.0,0.162711
lcamap,1,11,11,25,26.0,1.0,1.0,0.028014
segdup,1,11,11,5,6,1,1,86.017281
insider,1,11,11,5,6.0,1.0,1.0,0.046864
fastmultrec_greedy,1,11,11,5,6.0,1.0,1.0,0.161137
lcamap,1,11,11,5,6.0,1.0,1.0,0.027898
segdup,1,15,11,10,10,1,0,66.649636
insider,1,15,11,10,10.0,1.0,0.0,0.039074
fastmultrec_greedy,1,15,11,10,10.0,1.0,0.0,0.131731
lcamap,1,15,11,10,10.0,1.0,0.0,0.021817
segdup,1,15,11,15,15,1,0,56.556923
insider,1,15,11,15,15.0,1.0,0.0,0.039805
fastmultrec_greedy,1,15,11,15,15.0,1.0,0.0,0.130325
lcamap,1,15,11,15,15.0,1.0,0.0,0.022329
segdup,1,15,11,20,20,1,0,40.885799
insider,1,15,11,20,20.0,1.0,0.0,0.038005
fastmultrec_greedy,1,15,11,20,20.0,1.0,0.0,0.134479
lcamap,1,15,11,20,20.0,1.0,0.0,0.021990
segdup,1,15,11,25,25,1,0,40.658230
insider,1,15,11,25,25.0,1.0,0.0,0.037875
fastmultrec_greedy,1,15,11,25,25.0,1.0,0.0,0.132036
lcamap,1,15,11,25,25.0,1.0,0.0,0.021968
segdup,1,15,11,5,5,1,0,72.619403
insider,1,15,11,5,5.0,1.0,0.0,0.040883
fastmultrec_greedy,1,15,11,5,5.0,1.0,0.0,0.133585
lcamap,1,15,11,5,5.0,1.0,0.0,0.021398
segdup,1,8,11,10,615,50,115,53.346820
insider,1,8,11,10,592.0,46.0,132.0,0.178865
fastmultrec_greedy,1,8,11,10,606.0,49.0,116.0,0.564313
lcamap,1,8,11,10,623.0,54.0,83.0,0.021178
segdup,1,8,11,15,854,50,104,46.941351
insider,1,8,11,15,814.0,44.0,154.0,0.924855
fastmultrec_greedy,1,8,11,15,851.0,49.0,116.0,0.562124
lcamap,1,8,11,15,893.0,54.0,83.0,0.021042
segdup,1,8,11,20,1130,52,90,44.612215
insider,1,8,11,20,1028.0,38.0,268.0,7.409772
fastmultrec_greedy,1,8,11,20,1096.0,49.0,116.0,0.567691
lcamap,1,8,11,20,1163.0,54.0,83.0,0.021114
segdup,1,8,11,25,1352,50,102,46.278656
insider,1,8,11,25,1217.0,37.0,292.0,34.098726
fastmultrec_greedy,1,8,11,25,1341.0,49.0,116.0,0.568803
lcamap,1,8,11,25,1433.0,54.0,83.0,0.021697
segdup,1,8,11,5,353,54,83,51.665042
insider,1,8,11,5,348.0,51.0,93.0,0.075367
fastmultrec_greedy,1,8,11,5,349.0,52.0,89.0,0.285256
lcamap,1,8,11,5,353.0,54.0,83.0,0.021471
segdup,1,9,11,10,190,18,10,65.220132
insider,1,9,11,10,190.0,18.0,10.0,0.069217
fastmultrec_greedy,1,9,11,10,190.0,18.0,10.0,0.151359
lcamap,1,9,11,10,190.0,18.0,10.0,0.024752
segdup,1,9,11,15,280,18,10,68.267626
insider,1,9,11,15,280.0,18.0,10.0,0.105016
fastmultrec_greedy,1,9,11,15,280.0,18.0,10.0,0.152503
lcamap,1,9,11,15,280.0,18.0,10.0,0.025117
segdup,1,9,11,20,370,18,10,42.024901
insider,1,9,11,20,370.0,18.0,10.0,0.172036
fastmultrec_greedy,1,9,11,20,370.0,18.0,10.0,0.153177
lcamap,1,9,11,20,370.0,18.0,10.0,0.025364
segdup,1,9,11,25,460,18,10,43.050027
insider,1,9,11,25,460.0,18.0,10.0,0.487656
fastmultrec_greedy,1,9,11,25,460.0,18.0,10.0,0.151125
lcamap,1,9,11,25,460.0,18.0,10.0,0.024888
segdup,1,9,11,5,100,18,10,68.273397
insider,1,9,11,5,100.0,18.0,10.0,0.053378
fastmultrec_greedy,1,9,11,5,100.0,18.0,10.0,0.153061
lcamap,1,9,11,5,100.0,18.0,10.0,0.024826
segdup,2,10,11,10,41,4,1,242.758167
insider,2,10,11,10,41.0,4.0,1.0,0.146230
fastmultrec_greedy,2,10,11,10,41.0,4.0,1.0,0.519864
lcamap,2,10,11,10,41.0,4.0,1.0,0.091427
segdup,2,10,11,15,61,4,1,182.490554
insider,2,10,11,15,61.0,4.0,1.0,0.150784
fastmultrec_greedy,2,10,11,15,61.0,4.0,1.0,0.529206
lcamap,2,10,11,15,61.0,4.0,1.0,0.093552
segdup,2,10,11,20,81,4,1,120.866919
insider,2,10,11,20,81.0,4.0,1.0,0.154229
fastmultrec_greedy,2,10,11,20,81.0,4.0,1.0,0.529096
lcamap,2,10,11,20,81.0,4.0,1.0,0.093281
segdup,2,10,11,25,101,4,1,122.199238
insider,2,10,11,25,101.0,4.0,1.0,0.152861
fastmultrec_greedy,2,10,11,25,101.0,4.0,1.0,0.523035
